T,lambda_,eta_mu,xi,p,forget_acc,test_acc,verification_err
1,0.001,0.001,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
1,0.001,0.001,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
1,0.001,0.001,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
1,0.001,0.001,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
1,0.001,0.001,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
1,0.001,0.01,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
1,0.001,0.01,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
1,0.001,0.01,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
1,0.001,0.01,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
1,0.001,0.01,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
1,0.001,0.01,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
1,0.001,0.1,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
1,0.001,0.1,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
1,0.001,0.1,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
1,0.001,0.1,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
1,0.001,0.1,0.1,0.001,79.0,83.30526315789474,tensor(17.9480)
1,0.001,0.1,0.1,0.01,79.0,83.30526315789474,tensor(17.9480)
1,0.01,0.001,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
1,0.01,0.001,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
1,0.01,0.001,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
1,0.01,0.001,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
1,0.01,0.001,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
1,0.01,0.001,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
1,0.01,0.01,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
1,0.01,0.01,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
1,0.01,0.01,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
1,0.01,0.01,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
1,0.01,0.01,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
1,0.01,0.01,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
1,0.01,0.1,0.001,0.001,29.0,21.389473684210525,tensor(434.4328)
1,0.01,0.1,0.001,0.01,29.0,21.389473684210525,tensor(434.4328)
1,0.01,0.1,0.01,0.001,17.0,11.357894736842105,tensor(1149.1436)
1,0.01,0.1,0.01,0.01,17.0,11.357894736842105,tensor(1149.1436)
1,0.01,0.1,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
1,0.01,0.1,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
1,0.1,0.001,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
1,0.1,0.001,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
1,0.1,0.001,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
1,0.1,0.001,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
1,0.1,0.001,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
1,0.1,0.001,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
1,0.1,0.01,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
1,0.1,0.01,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
1,0.1,0.01,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
1,0.1,0.01,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
1,0.1,0.01,0.1,0.001,61.0,52.65263157894737,tensor(21.7557)
1,0.1,0.01,0.1,0.01,61.0,52.65263157894737,tensor(21.7557)
1,0.1,0.1,0.001,0.001,31.0,22.57894736842105,tensor(1610.4708)
1,0.1,0.1,0.001,0.01,31.0,22.57894736842105,tensor(1610.4708)
1,0.1,0.1,0.01,0.001,12.0,10.105263157894736,tensor(24.5188)
1,0.1,0.1,0.01,0.01,12.0,10.105263157894736,tensor(24.5188)
1,0.1,0.1,0.1,0.001,26.0,17.789473684210527,tensor(18.6988)
1,0.1,0.1,0.1,0.01,26.0,17.789473684210527,tensor(18.6988)
1,1.0,0.001,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
1,1.0,0.001,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
1,1.0,0.001,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
1,1.0,0.001,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
1,1.0,0.001,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
1,1.0,0.001,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
1,1.0,0.01,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
1,1.0,0.01,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
1,1.0,0.01,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
1,1.0,0.01,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
1,1.0,0.01,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
1,1.0,0.01,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
1,1.0,0.1,0.001,0.001,33.0,24.2,tensor(3485.8831)
1,1.0,0.1,0.001,0.01,33.0,24.2,tensor(3485.8831)
1,1.0,0.1,0.01,0.001,29.0,20.936842105263157,tensor(949.9787)
1,1.0,0.1,0.01,0.01,29.0,20.936842105263157,tensor(949.9787)
1,1.0,0.1,0.1,0.001,33.0,22.96842105263158,tensor(699.6690)
1,1.0,0.1,0.1,0.01,33.0,22.96842105263158,tensor(699.6690)
1,10.0,0.001,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
1,10.0,0.001,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
1,10.0,0.001,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
1,10.0,0.001,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
1,10.0,0.001,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
1,10.0,0.001,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
1,10.0,0.01,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
1,10.0,0.01,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
1,10.0,0.01,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
1,10.0,0.01,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
1,10.0,0.01,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
1,10.0,0.01,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
1,10.0,0.1,0.001,0.001,8.0,10.326315789473684,tensor(2133.3149)
1,10.0,0.1,0.001,0.01,8.0,10.326315789473684,tensor(2133.3149)
1,10.0,0.1,0.01,0.001,29.0,20.53684210526316,tensor(1429.2042)
1,10.0,0.1,0.01,0.01,29.0,20.53684210526316,tensor(1429.2042)
1,10.0,0.1,0.1,0.001,31.0,24.978947368421053,tensor(1374.6970)
1,10.0,0.1,0.1,0.01,31.0,24.978947368421053,tensor(1374.6970)
1,100.0,0.001,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
1,100.0,0.001,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
1,100.0,0.001,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
1,100.0,0.001,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
1,100.0,0.001,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
1,100.0,0.001,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
1,100.0,0.01,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
1,100.0,0.01,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
1,100.0,0.01,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
1,100.0,0.01,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
1,100.0,0.01,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
1,100.0,0.01,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
1,100.0,0.1,0.001,0.001,3.0,4.505263157894737,tensor(898711.)
1,100.0,0.1,0.001,0.01,3.0,4.505263157894737,tensor(898711.)
1,100.0,0.1,0.01,0.001,7.0,7.5473684210526315,tensor(33820.7031)
1,100.0,0.1,0.01,0.01,7.0,7.5473684210526315,tensor(33820.7031)
1,100.0,0.1,0.1,0.001,12.0,10.105263157894736,tensor(164.2040)
1,100.0,0.1,0.1,0.01,12.0,10.105263157894736,tensor(164.2040)
