T,lambda_,eta_mu,xi,p,forget_acc,test_acc,verification_err
2,0.001,0.001,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
2,0.001,0.001,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
2,0.001,0.001,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
2,0.001,0.001,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
2,0.001,0.001,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
2,0.001,0.001,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
2,0.001,0.01,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
2,0.001,0.01,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
2,0.001,0.01,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
2,0.001,0.01,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
2,0.001,0.01,0.1,0.001,93.0,94.6,tensor(18.0593)
2,0.001,0.01,0.1,0.01,93.0,94.6,tensor(18.0593)
2,0.001,0.1,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
2,0.001,0.1,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
2,0.001,0.1,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
2,0.001,0.1,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
2,0.001,0.1,0.1,0.001,76.0,82.76842105263158,tensor(17.9272)
2,0.001,0.1,0.1,0.01,76.0,82.76842105263158,tensor(17.9272)
2,0.01,0.001,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
2,0.01,0.001,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
2,0.01,0.001,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
2,0.01,0.001,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
2,0.01,0.001,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
2,0.01,0.001,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
2,0.01,0.01,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
2,0.01,0.01,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
2,0.01,0.01,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
2,0.01,0.01,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
2,0.01,0.01,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
2,0.01,0.01,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
2,0.01,0.1,0.001,0.001,19.0,14.968421052631578,tensor(62.2510)
2,0.01,0.1,0.001,0.01,19.0,14.968421052631578,tensor(62.2510)
2,0.01,0.1,0.01,0.001,58.0,51.71578947368421,tensor(183.9122)
2,0.01,0.1,0.01,0.01,58.0,51.71578947368421,tensor(183.9122)
2,0.01,0.1,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
2,0.01,0.1,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
2,0.1,0.001,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
2,0.1,0.001,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
2,0.1,0.001,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
2,0.1,0.001,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
2,0.1,0.001,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
2,0.1,0.001,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
2,0.1,0.01,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
2,0.1,0.01,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
2,0.1,0.01,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
2,0.1,0.01,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
2,0.1,0.01,0.1,0.001,81.0,79.41052631578947,tensor(18.2719)
2,0.1,0.01,0.1,0.01,81.0,79.41052631578947,tensor(18.2719)
2,0.1,0.1,0.001,0.001,21.0,16.063157894736843,tensor(190.7396)
2,0.1,0.1,0.001,0.01,21.0,16.063157894736843,tensor(190.7396)
2,0.1,0.1,0.01,0.001,12.0,10.126315789473685,tensor(22.6590)
2,0.1,0.1,0.01,0.01,12.0,10.126315789473685,tensor(22.6590)
2,0.1,0.1,0.1,0.001,24.0,19.54736842105263,tensor(18.5029)
2,0.1,0.1,0.1,0.01,24.0,19.54736842105263,tensor(18.5029)
2,1.0,0.001,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
2,1.0,0.001,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
2,1.0,0.001,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
2,1.0,0.001,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
2,1.0,0.001,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
2,1.0,0.001,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
2,1.0,0.01,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
2,1.0,0.01,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
2,1.0,0.01,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
2,1.0,0.01,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
2,1.0,0.01,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
2,1.0,0.01,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
2,1.0,0.1,0.001,0.001,34.0,34.8,tensor(878.2877)
2,1.0,0.1,0.001,0.01,34.0,34.8,tensor(878.2877)
2,1.0,0.1,0.01,0.001,22.0,16.936842105263157,tensor(163.8577)
2,1.0,0.1,0.01,0.01,22.0,16.936842105263157,tensor(163.8577)
2,1.0,0.1,0.1,0.001,23.0,18.11578947368421,tensor(91.0425)
2,1.0,0.1,0.1,0.01,23.0,18.11578947368421,tensor(91.0425)
2,10.0,0.001,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
2,10.0,0.001,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
2,10.0,0.001,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
2,10.0,0.001,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
2,10.0,0.001,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
2,10.0,0.001,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
2,10.0,0.01,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
2,10.0,0.01,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
2,10.0,0.01,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
2,10.0,0.01,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
2,10.0,0.01,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
2,10.0,0.01,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
2,10.0,0.1,0.001,0.001,8.0,6.189473684210526,tensor(2043.9924)
2,10.0,0.1,0.001,0.01,8.0,6.189473684210526,tensor(2043.9924)
2,10.0,0.1,0.01,0.001,9.0,9.073684210526316,tensor(336.2704)
2,10.0,0.1,0.01,0.01,9.0,9.073684210526316,tensor(336.2704)
2,10.0,0.1,0.1,0.001,35.0,27.778947368421054,tensor(346.6161)
2,10.0,0.1,0.1,0.01,35.0,27.778947368421054,tensor(346.6161)
2,100.0,0.001,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
2,100.0,0.001,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
2,100.0,0.001,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
2,100.0,0.001,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
2,100.0,0.001,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
2,100.0,0.001,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
2,100.0,0.01,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
2,100.0,0.01,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
2,100.0,0.01,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
2,100.0,0.01,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
2,100.0,0.01,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
2,100.0,0.01,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
2,100.0,0.1,0.001,0.001,7.0,5.4526315789473685,tensor(25657.7422)
2,100.0,0.1,0.001,0.01,7.0,5.4526315789473685,tensor(25657.7422)
2,100.0,0.1,0.01,0.001,10.0,7.178947368421053,tensor(3797.0303)
2,100.0,0.1,0.01,0.01,10.0,7.178947368421053,tensor(3797.0303)
2,100.0,0.1,0.1,0.001,15.0,11.536842105263158,tensor(105.3514)
2,100.0,0.1,0.1,0.01,15.0,11.536842105263158,tensor(105.3514)
3,0.001,0.001,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
3,0.001,0.001,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
3,0.001,0.001,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
3,0.001,0.001,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
3,0.001,0.001,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
3,0.001,0.001,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
3,0.001,0.01,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
3,0.001,0.01,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
3,0.001,0.01,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
3,0.001,0.01,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
3,0.001,0.01,0.1,0.001,94.0,92.96842105263158,tensor(18.0254)
3,0.001,0.01,0.1,0.01,94.0,92.96842105263158,tensor(18.0254)
3,0.001,0.1,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
3,0.001,0.1,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
3,0.001,0.1,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
3,0.001,0.1,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
3,0.001,0.1,0.1,0.001,88.0,88.52631578947368,tensor(17.9390)
3,0.001,0.1,0.1,0.01,88.0,88.52631578947368,tensor(17.9390)
3,0.01,0.001,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
3,0.01,0.001,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
3,0.01,0.001,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
3,0.01,0.001,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
3,0.01,0.001,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
3,0.01,0.001,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
3,0.01,0.01,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
3,0.01,0.01,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
3,0.01,0.01,0.01,0.001,93.0,94.81052631578947,tensor(18.0989)
3,0.01,0.01,0.01,0.01,93.0,94.81052631578947,tensor(18.0989)
3,0.01,0.01,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
3,0.01,0.01,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
3,0.01,0.1,0.001,0.001,19.0,15.715789473684211,tensor(60.2448)
3,0.01,0.1,0.001,0.01,19.0,15.715789473684211,tensor(60.2448)
3,0.01,0.1,0.01,0.001,27.0,25.705263157894738,tensor(94.8150)
3,0.01,0.1,0.01,0.01,27.0,25.705263157894738,tensor(94.8150)
3,0.01,0.1,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
3,0.01,0.1,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
3,0.1,0.001,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
3,0.1,0.001,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
3,0.1,0.001,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
3,0.1,0.001,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
3,0.1,0.001,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
3,0.1,0.001,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
3,0.1,0.01,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
3,0.1,0.01,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
3,0.1,0.01,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
3,0.1,0.01,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
3,0.1,0.01,0.1,0.001,89.0,90.25263157894737,tensor(18.1675)
3,0.1,0.01,0.1,0.01,89.0,90.25263157894737,tensor(18.1675)
3,0.1,0.1,0.001,0.001,24.0,18.263157894736842,tensor(131.6020)
3,0.1,0.1,0.001,0.01,24.0,18.263157894736842,tensor(131.6020)
3,0.1,0.1,0.01,0.001,12.0,10.347368421052632,tensor(21.9845)
3,0.1,0.1,0.01,0.01,12.0,10.347368421052632,tensor(21.9845)
3,0.1,0.1,0.1,0.001,36.0,31.294736842105262,tensor(18.2969)
3,0.1,0.1,0.1,0.01,36.0,31.294736842105262,tensor(18.2969)
3,1.0,0.001,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
3,1.0,0.001,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
3,1.0,0.001,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
3,1.0,0.001,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
3,1.0,0.001,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
3,1.0,0.001,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
3,1.0,0.01,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
3,1.0,0.01,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
3,1.0,0.01,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
3,1.0,0.01,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
3,1.0,0.01,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
3,1.0,0.01,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
3,1.0,0.1,0.001,0.001,10.0,8.884210526315789,tensor(488.0266)
3,1.0,0.1,0.001,0.01,10.0,8.884210526315789,tensor(488.0266)
3,1.0,0.1,0.01,0.001,22.0,16.389473684210525,tensor(159.1409)
3,1.0,0.1,0.01,0.01,22.0,16.389473684210525,tensor(159.1409)
3,1.0,0.1,0.1,0.001,21.0,17.778947368421054,tensor(88.0482)
3,1.0,0.1,0.1,0.01,21.0,17.778947368421054,tensor(88.0482)
3,10.0,0.001,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
3,10.0,0.001,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
3,10.0,0.001,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
3,10.0,0.001,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
3,10.0,0.001,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
3,10.0,0.001,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
3,10.0,0.01,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
3,10.0,0.01,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
3,10.0,0.01,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
3,10.0,0.01,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
3,10.0,0.01,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
3,10.0,0.01,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
3,10.0,0.1,0.001,0.001,4.0,3.9157894736842107,tensor(2027.7687)
3,10.0,0.1,0.001,0.01,4.0,3.9157894736842107,tensor(2027.7687)
3,10.0,0.1,0.01,0.001,11.0,9.652631578947368,tensor(302.7672)
3,10.0,0.1,0.01,0.01,11.0,9.652631578947368,tensor(302.7672)
3,10.0,0.1,0.1,0.001,11.0,9.578947368421053,tensor(150.6609)
3,10.0,0.1,0.1,0.01,11.0,9.578947368421053,tensor(150.6609)
3,100.0,0.001,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
3,100.0,0.001,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
3,100.0,0.001,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
3,100.0,0.001,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
3,100.0,0.001,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
3,100.0,0.001,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
3,100.0,0.01,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
3,100.0,0.01,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
3,100.0,0.01,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
3,100.0,0.01,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
3,100.0,0.01,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
3,100.0,0.01,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
3,100.0,0.1,0.001,0.001,8.0,10.326315789473684,tensor(56807.4492)
3,100.0,0.1,0.001,0.01,8.0,10.326315789473684,tensor(56807.4492)
3,100.0,0.1,0.01,0.001,10.0,8.663157894736843,tensor(3780.1406)
3,100.0,0.1,0.01,0.01,10.0,8.663157894736843,tensor(3780.1406)
3,100.0,0.1,0.1,0.001,12.0,10.052631578947368,tensor(75.4757)
3,100.0,0.1,0.1,0.01,12.0,10.052631578947368,tensor(75.4757)
4,0.001,0.001,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
4,0.001,0.001,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
4,0.001,0.001,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
4,0.001,0.001,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
4,0.001,0.001,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
4,0.001,0.001,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
4,0.001,0.01,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
4,0.001,0.01,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
4,0.001,0.01,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
4,0.001,0.01,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
4,0.001,0.01,0.1,0.001,92.0,90.9578947368421,tensor(18.0057)
4,0.001,0.01,0.1,0.01,92.0,90.9578947368421,tensor(18.0057)
4,0.001,0.1,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
4,0.001,0.1,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
4,0.001,0.1,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
4,0.001,0.1,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
4,0.001,0.1,0.1,0.001,80.0,84.82105263157895,tensor(17.9197)
4,0.001,0.1,0.1,0.01,80.0,84.82105263157895,tensor(17.9197)
4,0.01,0.001,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
4,0.01,0.001,0.001,0.01,93.0,94.81052631578947,tensor(18.0990)
4,0.01,0.001,0.01,0.001,93.0,94.81052631578947,tensor(18.0990)
4,0.01,0.001,0.01,0.01,93.0,94.81052631578947,tensor(18.0990)
4,0.01,0.001,0.1,0.001,93.0,94.81052631578947,tensor(18.0990)
4,0.01,0.001,0.1,0.01,93.0,94.81052631578947,tensor(18.0990)
4,0.01,0.01,0.001,0.001,93.0,94.81052631578947,tensor(18.0990)
