T,lambda_,eta_mu,xi,p,forget_acc,test_acc,verification_err
10,0.001,0.001,0.001,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.001,0.001,0.001,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.001,0.001,0.01,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.001,0.001,0.01,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.001,0.001,0.1,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.001,0.001,0.1,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.001,0.01,0.001,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.001,0.01,0.001,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.001,0.01,0.01,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.001,0.01,0.01,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.001,0.01,0.1,0.001,95.0,94.90526315789474,tensor(18.0598)
10,0.001,0.01,0.1,0.01,15.0,9.726315789473684,tensor(18.5203)
10,0.001,0.1,0.001,0.001,15.0,9.726315789473684,tensor(223.8044)
10,0.001,0.1,0.001,0.01,3.0,9.705263157894738,tensor(719.1661)
10,0.001,0.1,0.01,0.001,10.0,7.2105263157894735,tensor(131.8887)
10,0.001,0.1,0.01,0.01,15.0,9.726315789473684,tensor(37.5288)
10,0.001,0.1,0.1,0.001,7.0,5.4,tensor(57.9422)
10,0.001,0.1,0.1,0.01,15.0,9.726315789473684,tensor(19.6406)
10,0.01,0.001,0.001,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.01,0.001,0.001,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.01,0.001,0.01,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.01,0.001,0.01,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.01,0.001,0.1,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.01,0.001,0.1,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.01,0.01,0.001,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.01,0.01,0.001,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.01,0.01,0.01,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.01,0.01,0.01,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.01,0.01,0.1,0.001,22.0,14.210526315789474,tensor(624.2192)
10,0.01,0.01,0.1,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.01,0.1,0.001,0.001,7.0,9.68421052631579,tensor(1827.8137)
10,0.01,0.1,0.001,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.01,0.1,0.01,0.001,15.0,9.705263157894738,tensor(536.7784)
10,0.01,0.1,0.01,0.01,10.0,5.105263157894737,tensor(568.4992)
10,0.01,0.1,0.1,0.001,15.0,9.726315789473684,tensor(19.8986)
10,0.01,0.1,0.1,0.01,93.0,94.61052631578947,tensor(18.2601)
10,0.1,0.001,0.001,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.1,0.001,0.001,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.1,0.001,0.01,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.1,0.001,0.01,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.1,0.001,0.1,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.1,0.001,0.1,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.1,0.01,0.001,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.1,0.01,0.001,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.1,0.01,0.01,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.1,0.01,0.01,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.1,0.01,0.1,0.001,95.0,94.86315789473684,tensor(18.0598)
10,0.1,0.01,0.1,0.01,95.0,94.86315789473684,tensor(18.0598)
10,0.1,0.1,0.001,0.001,13.0,11.336842105263157,tensor(4004.5435)
10,0.1,0.1,0.001,0.01,7.0,6.105263157894737,tensor(71935.7500)
10,0.1,0.1,0.01,0.001,15.0,9.726315789473684,tensor(278.9371)
10,0.1,0.1,0.01,0.01,2.0,7.031578947368421,tensor(1427.5140)
10,0.1,0.1,0.1,0.001,15.0,9.726315789473684,tensor(487.9795)
10,0.1,0.1,0.1,0.01,15.0,10.631578947368421,tensor(793.2836)
50,0.001,0.001,0.001,0.001,95.0,94.86315789473684,tensor(18.0598)
50,0.001,0.001,0.001,0.01,95.0,94.86315789473684,tensor(18.0598)
50,0.001,0.001,0.01,0.001,95.0,94.86315789473684,tensor(18.0598)
50,0.001,0.001,0.01,0.01,95.0,94.86315789473684,tensor(18.0598)
